id,comercio,delta_predicho,fecha_ultimo,fecha_proximo_gasto
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON,9.895788488617598,2022-08-02,2022-08-12
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,27.775596938734445,2023-01-16,2023-02-13
003d9abe467a91847d566cf455bd2d7d6c8f7e75,CINEPOLIS,44.74555140454971,2022-12-28,2023-02-11
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI,2.4203203745072535,2022-08-28,2022-08-30
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI FOOD,22.254159284199805,2022-10-16,2022-11-07
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI RIDES,1.4534667255305407,2023-01-23,2023-01-24
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDIFOOD,19.666666666666668,2022-07-24,2022-08-13
003d9abe467a91847d566cf455bd2d7d6c8f7e75,ITUNES,31.42000127875848,2023-01-02,2023-02-02
003d9abe467a91847d566cf455bd2d7d6c8f7e75,KUESKI PAY,12.156971955356063,2023-01-15,2023-01-27
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADO PAGO,21.215824404019866,2023-01-04,2023-01-25
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADOPAGO,64.3669973699108,2022-11-05,2023-01-08
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MICROSOFT,13.0,2023-01-13,2023-01-26
003d9abe467a91847d566cf455bd2d7d6c8f7e75,OXXO,74.09865425553633,2023-01-01,2023-03-16
003d9abe467a91847d566cf455bd2d7d6c8f7e75,RAPPI,5.020557310237768,2022-11-12,2022-11-17
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SAMS CLUB,73.0,2022-09-12,2022-11-24
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,30.07319246134168,2023-01-21,2023-02-20
003d9abe467a91847d566cf455bd2d7d6c8f7e75,STARBUCKS,86.01596427028926,2022-12-22,2023-03-18
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER,1.0229207169932735,2023-01-24,2023-01-25
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER EATS,8.799665637037494,2023-01-13,2023-01-22
003d9abe467a91847d566cf455bd2d7d6c8f7e75,WALMART,23.145874286553564,2022-12-29,2023-01-21
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,11.489665921346507,2023-01-28,2023-02-08
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,30.275086531615948,2023-01-06,2023-02-05
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,APPLE,2.8209306901707376,2023-01-21,2023-01-24
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CARLS JR,65.0,2022-08-24,2022-10-28
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CHEDRAUI,7.525947707822975,2023-01-26,2023-02-03
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CINEPOLIS,49.0,2022-07-26,2022-09-13
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,COSTCO,13.044684574074012,2023-01-26,2023-02-08
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,FARMACIAS DEL AHORRO,16.75,2022-07-11,2022-07-28
